time,spot_ER_Russia
298,22.080244392213938
299,21.96585751505786
300,21.961656126445337
301,21.961492934981354
302,21.961486566034463
303,21.961486317671902
304,21.961486307984927
305,21.961486307607107
306,21.961486307592374
307,21.961486307591798
308,21.961486307591773
309,21.961486307591773
310,21.961486307591773
311,21.961486307591773
312,21.961486307591773
313,21.961486307591773
314,21.961486307591773
315,21.961486307591773
316,21.961486307591773
317,21.961486307591773
318,21.961486307591773
319,21.961486307591773
320,21.961486307591773
321,21.961486307591773
