time,spot_ER_Russia
298,65.62888360633023
299,71.48751404897052
300,81.24442482512563
301,88.08733492234128
302,85.96817173063545
303,89.6275678412146
304,90.07013183069213
305,93.79492154367733
306,99.9104668548351
307,101.73558855762052
308,101.12786265692971
309,104.34235142897437
310,105.2393208018513
311,111.60780946434825
312,110.0882865435622
313,104.59570649404354
314,101.48494527001894
315,96.11743367482828
316,97.97357846300358
317,108.47905497183754
318,114.50430871257413
319,114.76671135847397
320,116.90909659175874
321,119.68864570789023
