time,spot_ER_Russia
298,71.85234911471323
299,74.23261411433276
300,73.07542299834778
301,81.64770229658319
302,70.10211290588514
303,78.03591915355882
304,72.6264261284221
305,73.73370722616485
306,74.17043798185153
307,71.77327766687412
308,85.0206784422942
309,89.48202761256258
310,94.5517965599519
311,98.01243034265849
312,89.31100763604671
313,92.42018333381726
314,89.9402658703741
315,91.96415508271366
316,96.04686677370536
317,103.94949189814866
318,108.07336972470867
319,112.96617267989883
320,120.07081274874147
321,113.46056941502331
