time,spot_ER_Russia
298,75.43925155094604
299,76.80913136799988
300,82.07864193826532
301,85.05909462191235
302,85.92786597583256
303,90.30118914241504
304,93.10836147533547
305,97.49960292482572
306,99.5189067646434
307,101.42790088238422
308,101.94388592932029
309,107.57082370860435
310,107.35455322552829
311,109.4395357337761
312,107.47073331828777
313,105.62904317888798
314,106.06100292485344
315,107.18415870864783
316,109.57334868696594
317,113.89192753024346
318,118.5321282192912
319,121.21504872759982
320,124.88439263918336
321,127.90232392641268
