time,spot_ER_Russia
274,85.40785763843536
275,89.6144380325591
276,90.84384466916546
277,90.55794363618391
278,90.30101301475656
279,87.28838081582103
280,89.66594059383816
281,94.77042191045743
282,96.92132674628792
283,98.98029265249231
284,104.29931123394533
285,108.96603789818113
286,109.26782406916558
287,112.1485356693294
288,115.71828972864007
289,107.96976989486154
290,107.3356917137885
291,112.2454641955417
292,112.11380944322732
293,111.8045205520066
294,115.54057219751323
295,118.74985938479132
296,112.27143674415262
297,115.63792363338806
298,110.83393076542755
299,111.17298804518174
300,110.95047088580932
301,110.49724465248998
302,108.13377353089231
303,103.10261614729039
304,105.43884838348484
305,103.815415496318
306,106.52418162640802
307,109.46760330160305
308,108.0151398392457
309,107.57783507614072
310,106.73013044519045
311,105.68682019129047
312,106.41345686666844
313,103.39118456343918
314,105.62349275813702
315,105.00041332198832
316,107.39794124314989
317,108.65373262180424
318,110.92638570495401
319,109.52336497685549
320,110.4111462831098
321,108.60155921170207
