time,spot_ER_Russia
274,66.44143129932957
275,67.20132456228018
276,68.04415329344025
277,68.47223862565077
278,69.84348068034278
279,70.06064608147882
280,70.82398590889784
281,74.98714373994294
282,74.3735839842953
283,76.64706956694016
284,80.39207828128646
285,81.98858202565381
286,83.39645513928015
287,81.57799020019604
288,82.25227821131799
289,80.01377802461143
290,81.60182046512841
291,81.6563452004972
292,84.99237990007977
293,86.9248274956417
294,90.16891366536997
295,93.25620431532683
296,93.4784875250645
297,94.01142108203223
298,91.87481988818428
299,93.44375733980894
300,96.78434649878095
301,99.0004421233309
302,99.9058002572293
303,101.59970835357751
304,103.77102010287467
305,105.89701701679289
306,108.21128236787959
307,108.17614091390938
308,108.56828862736337
309,109.70715509940139
310,110.83085059045723
311,112.24662528709219
312,114.09887865481494
313,113.3452705600958
314,113.84857843159494
315,116.18916412350157
316,118.63307983250522
317,118.28006042774986
318,116.78517528903886
319,115.90596961790389
320,115.32979495564612
321,116.68255670619936
