time,spot_ER_Russia
274,35.26130959431367
275,34.5182961590774
276,34.99781033110634
277,37.896073501898435
278,39.666222715156515
279,40.4289665225646
280,42.579921563818495
281,43.22569596858187
282,44.9776533838118
283,48.27187920674485
284,51.16305554298717
285,48.202102489304615
286,50.094264523186666
287,49.89279835496515
288,51.927070715575624
289,53.744031305205255
290,54.37335175980447
291,53.09492024641534
292,52.03510556528526
293,56.84464063299195
294,57.60834025976532
295,57.316009931288114
296,54.76468479816693
297,55.51549212656827
298,55.12733972244593
299,59.08891288728287
300,58.54618678450307
301,58.34612862148064
302,58.7504490044356
303,57.78930684289467
304,56.94733299331618
305,55.67795439436514
306,55.98196496231537
307,58.949134261393596
308,55.79200293663886
309,55.04892693195629
310,56.6662474957924
311,55.53956455224965
312,54.003519805380655
313,52.73396451451076
314,52.81288817607409
315,55.35184839013062
316,52.703167376867825
317,54.562947775837266
318,52.85776686727372
319,50.98198137050035
320,51.84646753549885
321,51.5878227799523
