time,spot_ER_Russia
298,69.88503681721375
299,71.80016857562453
300,74.90778734731293
301,69.85666272849572
302,73.26760296689011
303,73.50251126819232
304,70.64519295348485
305,69.6939857071689
306,73.51162088122685
307,77.70848675770239
308,81.12350803101299
309,90.46122436524655
310,89.3985321946245
311,87.85554867453808
312,84.84301811662166
313,81.59859692328445
314,81.84470963621773
315,89.0156880837897
316,86.959331117336
317,92.88154349957269
318,99.26942261228048
319,98.41359849782114
320,98.60307987140914
321,107.37373827012856
