Date,Naive,AR(2),"ARIMAx(0,1,1)","ARNNx(2,4)","ARFIMAx(0,0.49135,5)",ETS,SETAR,TBATS,GARCH,BSTSx,DeepAR,NBEATSx,NHiTSx,DLinearx,NLinearx,TSMixerx,"NARFIMAx(2,4,4,T)"
11/1/2021,71.0086,63.58369133,73.48775187,68.77585054,62.24895521,71.45473231,69.87328592,71.00631197,67.68748543,74.06038257,20.77631609,88.67323963,97.26172096,76.85656399,75.90151246,52.75881932,78.0326496
12/1/2021,71.0086,63.35216423,73.46917953,68.55536658,62.12073264,71.45507063,69.84779224,71.00631197,67.56483714,74.06306547,20.77631609,76.37924541,96.84234028,75.86916967,75.97549075,52.92905151,76.60713286
1/1/2022,71.0086,63.12489114,73.24637079,67.82596375,61.99699161,71.45534129,69.8231648,71.00631197,67.44295258,73.89113319,20.77631609,74.81819213,96.42432942,75.32298557,76.46567563,52.92460937,76.92548256
2/1/2022,71.0086,62.90179391,73.33527003,66.88301697,61.87744391,71.45555781,69.79937416,71.00631197,67.32182747,73.94368199,20.77631609,78.19588954,94.91665633,78.06966692,78.26511112,52.93073583,76.37163101
3/1/2022,71.0086,62.6827958,73.51114758,66.11779877,61.76182909,71.45573104,69.7763919,71.00631197,67.20145751,73.79649796,20.77631609,87.49719888,95.96313854,78.6977948,79.30083245,53.43195687,76.53891395
4/1/2022,71.0086,62.4678215,73.61004154,65.29691851,61.64991096,71.45586961,69.75419054,71.00631197,67.08183846,73.62220087,20.77631609,85.62601509,96.61377064,79.89440935,79.92055659,53.04628294,76.78303604
5/1/2022,71.0086,62.25679708,73.66839632,64.40282799,61.54147451,71.45598048,69.73274355,71.00631197,66.96296608,74.10499383,20.77631609,89.96420902,99.04492001,79.92925216,80.58772687,53.50098751,77.36330422
6/1/2022,71.0086,62.04964996,73.70043266,63.21821317,61.43632345,71.45606916,69.7120253,71.00631197,66.84483618,74.50066561,20.77631609,88.10225176,101.8926408,80.99501201,81.72653187,53.52730015,77.54310415
7/1/2022,71.0086,61.84630891,73.80543284,61.95528219,61.334278,71.45614012,69.69201103,71.00631197,66.72744458,74.56105974,20.77631609,81.55559377,99.47520378,82.32016414,83.21562705,53.50937256,77.88538189
8/1/2022,71.0086,61.64670398,73.95905902,60.7055903,61.23517303,71.45619688,69.67267681,71.00631197,66.61078713,75.13322168,20.77631609,87.37066716,102.0843745,83.29879639,83.96391347,53.76943681,78.44168535
9/1/2022,71.0086,61.45076654,73.9320381,58.53071606,61.13885652,71.45624229,69.65399954,71.00631197,66.4948597,75.45690145,20.77631609,78.69501165,102.0254413,83.88734947,84.43582831,53.86878938,78.59950652
10/1/2022,71.0086,61.2584292,73.95911965,55.90776402,61.04518812,71.45627861,69.63595689,71.00631197,66.37965818,75.33160108,20.77631609,86.36247868,102.8346461,83.43632946,84.76824125,53.54542145,78.2783975
11/1/2022,71.0086,61.06962582,74.12184854,54.1077318,60.954038,71.45630768,69.61852732,71.00631197,66.26517851,75.58396258,20.77631609,87.19154668,101.0583115,84.39950458,84.6650585,54.32932052,78.74627367
