time,spot_ER_Brazil
274,7.9597900764486695
275,6.2023512531203595
276,7.039117154359643
277,5.223294534202821
278,9.458466110614212
279,7.181311310947246
280,7.197709222152778
281,7.305359014785531
282,6.845906647142145
283,5.488070931177725
284,7.803785168424092
285,7.593545602992291
286,8.85939638405591
287,6.641175751250099
288,7.786630548611513
289,9.291507943516658
290,7.2662676363333
291,6.565501599035457
292,8.681921789848731
293,8.496033268335468
294,8.837182948381017
295,5.334371449615055
296,7.502109867824689
297,5.375749236388093
298,7.96840463939832
299,8.543727566111805
300,7.728460653665878
301,9.366193111385115
302,7.419739705782377
303,7.306665186821643
304,8.150818717061513
305,7.547603169668082
306,7.126310282718672
307,4.669718189039202
308,9.086077676374428
309,8.325960580090522
310,6.185973594987663
311,7.3945570055978145
312,6.544789668266597
313,5.464026829881423
314,7.987386362976129
315,6.185616301879004
316,6.3914739203851285
317,7.881406235938181
318,4.121547092231673
319,7.427740829499831
320,6.537740186788579
321,8.580011609926917
