time,spot_ER_Brazil
298,3.8400317286781913
299,3.446238133185842
300,3.720632993850314
301,4.011035751658849
302,4.342600210012081
303,4.87851716401614
304,5.406168368514582
305,5.61348921126411
306,5.75739656838622
307,5.814991519190408
308,6.029705067792252
309,6.006195369989623
310,6.475231712201998
311,6.278198628950639
312,5.947237479546675
313,5.59524685643597
314,5.134629823624529
315,5.24871425123917
316,5.310501347545176
317,5.22414520786882
318,5.329841717061832
319,5.431228861017268
320,5.329051780985137
321,5.388539234103626
