time,spot_ER_Brazil
274,5.8382785716804095
275,5.9804518443681225
276,6.014963537531822
277,6.169595565437049
278,6.244329532741042
279,6.336242362141055
280,6.330703354178417
281,6.585050661529036
282,6.641277123102038
283,6.732445276605461
284,6.910025371153092
285,7.085758045276993
286,7.098917718740043
287,6.919956379027081
288,6.8096457896816895
289,6.853369937837989
290,6.714955521998872
291,6.75009725434616
292,6.88357655351285
293,7.018710709823954
294,6.897980854878228
295,6.668340167240877
296,6.702889453560967
297,6.952260090381524
298,6.94490114517617
299,6.754978599252631
300,6.602776787995302
301,6.546929652279262
302,6.612571877214072
303,6.608685561761103
304,6.592590818858278
305,6.456713827719327
306,6.4836557977745075
307,6.4324922368569295
308,6.51508102231629
309,6.515546162622202
310,6.367053584979126
311,6.538371217424894
312,6.34855608757185
313,6.410940185921199
314,6.139121231327605
315,5.916988727103541
316,5.889886722999287
317,6.013647747396263
318,6.045895107335067
319,5.955701704413166
320,5.920226019193858
321,6.141158019436399
