time,spot_ER_Brazil
274,3.7230726327638273
275,3.6390182455095106
276,3.562526925560987
277,3.499532336128394
278,3.4479154472342106
279,3.405336303396067
280,3.369807363964174
281,3.339879687721249
282,3.314439325229392
283,3.2926506483094666
284,3.2738701603101372
285,3.2575949892956952
286,3.2434256420616174
287,3.231040728280405
288,3.2201785102254705
289,3.210623590310801
290,3.202197018360878
291,3.1947488765910155
292,3.1881526295632336
293,3.182300768285867
294,3.177101408918144
295,3.172475607671551
296,3.168355218899281
297,3.1646811702886906
298,3.1614020616735234
299,3.1584730174923332
300,3.1558547398912538
301,3.1535127219357664
302,3.1514165896280044
303,3.1495395483419304
304,3.1478579145161385
305,3.1463507174320897
306,3.144999358973617
307,3.1437873216427343
308,3.1426999169657446
309,3.141724067886468
310,3.1408481199023948
311,3.1400616766236817
312,3.139355456176426
313,3.138721165470071
314,3.1381513898345386
315,3.13763949592917
316,3.1371795461507817
317,3.1367662230364344
318,3.1363947623787833
319,3.1360608939570183
320,3.1357607889412513
321,3.1354910131583265
