time,spot_ER_Brazil
274,2.8553551647994637
275,3.041973795198911
276,2.820780751235179
277,2.7666437495318355
278,2.816289371182392
279,3.2942254810070897
280,3.0433154189668814
281,3.1153485569439434
282,3.039037839329807
283,3.020204407126702
284,3.211271367483484
285,3.1030477940746826
286,3.1089093055338317
287,3.278060189564076
288,3.460458543690961
289,3.4619312927746853
290,3.2346041549364872
291,3.4045497598653447
292,3.2866159470232352
293,3.462152550799686
294,3.683098324898293
295,3.6422637270884053
296,3.565385035478382
297,3.735177899390802
298,3.5810952060068346
299,3.8333691404725756
300,3.9155183588911293
301,3.5037416287883696
302,3.5962994147584477
303,3.989158173846189
304,3.834456586489325
305,3.732332963709991
306,3.8919062122858876
307,3.78554136034186
308,3.63178794650289
309,4.056214159752168
310,3.7342129656340144
311,3.662133896944744
312,3.8827714421697377
313,3.836610579520593
314,3.7313948662379257
315,3.7862461273704136
316,3.8792188595871537
317,3.8198393924224687
318,3.749313485306951
319,3.609351860001041
320,3.862491647296589
321,3.9204111998434414
