time,spot_ER_Brazil
298,3.7911475029040997
299,3.9876296764178445
300,3.8282747543086226
301,4.31753601179563
302,3.835846401477084
303,4.093627252186616
304,4.229384740151577
305,4.169023735871761
306,4.41417762280609
307,4.618006782692907
308,4.91723719645126
309,4.735342388463931
310,5.205436488138149
311,4.992708825807354
312,5.266408592514843
313,5.648635350112993
314,5.996918548437739
315,5.785138858468585
316,5.847373338796818
317,5.98145916858533
318,6.302015168464678
319,6.427075209072883
320,6.736015482328714
321,6.614108537688107
