time,spot_ER_China
298,8.563343809125476
299,9.087773870452041
300,9.784833581482353
301,8.685919087933723
302,8.840524370512052
303,9.138718699313536
304,9.58295557236929
305,10.0589333436202
306,9.668859715269397
307,8.603918205407085
308,9.47940291082637
309,8.943860864972276
310,9.860990855089677
311,10.473406766956286
312,10.004251186030528
313,10.008848877087836
314,10.32584243022522
315,10.81456985277124
316,9.079420014359947
317,8.762081675178692
318,9.478761661538773
319,10.864806613836592
320,10.034703539517999
321,9.41527233633613
