time,spot_ER_China
274,11.453293914959584
275,11.436268851059191
276,11.407038747012368
277,11.356574200308524
278,11.29992961517174
279,11.343744341092599
280,11.291540771484984
281,11.239438182447458
282,11.204192171308343
283,11.32013337657321
284,11.15314628401566
285,11.274876363132073
286,11.27979187944975
287,11.408810421534165
288,11.427566166331678
289,11.417987560647731
290,11.330597200219133
291,11.428844954069186
292,11.522881841311394
293,11.527989337850531
294,11.459859878417241
295,11.630971931052494
296,11.722185831116452
297,11.756115048179565
298,11.536176195214042
299,11.618567576822691
300,11.750683960025588
301,11.785478497792429
302,11.72396419908631
303,11.713698303831048
304,11.631550888134294
305,11.731906734614645
306,11.829967211463357
307,11.82662815192289
308,11.691453604091674
309,11.923259218412252
310,11.979129604611028
311,12.072560588160645
312,11.976210525221429
313,12.187929660916438
314,12.177133629508385
315,12.188978663818485
316,12.199325935416486
317,12.278863425190371
318,12.106204851874496
319,12.292117302373635
320,12.155222820857409
321,12.15514516557386
