time,spot_ER_China
298,10.537704804176908
299,10.637687324141806
300,11.14303852509964
301,11.262610290164446
302,10.133690352729015
303,10.333395445954462
304,10.325415674127226
305,10.252312384919044
306,9.992251545066983
307,11.491130504263548
308,11.27659177890424
309,10.06635839430529
310,10.506367818532897
311,9.879516303290714
312,11.084627967283176
313,9.69638806879141
314,9.910806073737525
315,10.36407641104277
316,10.267713986673561
317,10.448820533976928
318,10.063882059978406
319,9.865713124617962
320,10.736330404728704
321,10.140333912564923
