time,spot_ER_China
298,7.993650104432885
299,7.840878317294101
300,7.85311952184044
301,7.939854711575504
302,7.883601070098769
303,7.802296682487701
304,7.915599220613483
305,8.025785824260367
306,8.086702619115147
307,8.13299930214465
308,8.295189796493515
309,8.40617213933022
310,8.54980400383854
311,8.76566703860982
312,8.819710927190735
313,8.894863150557988
314,8.779248783985857
315,8.732784156861086
316,8.806682709613655
317,8.939848969214498
318,9.072022220985737
319,9.25388790778707
320,9.196139669293887
321,9.210166435447148
