time,spot_ER_China
298,7.307246865624263
299,7.324283740785447
300,7.325023018157758
301,7.325052658666191
302,7.325053841979374
303,7.32505388911307
304,7.325053890989456
305,7.325053891064178
306,7.325053891067154
307,7.325053891067272
308,7.325053891067277
309,7.325053891067277
310,7.325053891067277
311,7.325053891067277
312,7.325053891067277
313,7.325053891067277
314,7.325053891067277
315,7.325053891067277
316,7.325053891067277
317,7.325053891067277
318,7.325053891067277
319,7.325053891067277
320,7.325053891067277
321,7.325053891067277
