time,spot_ER_China
298,6.5795818955746
299,6.592153185930084
300,6.613920322534645
301,6.582467413184724
302,6.544217958498528
303,6.568409717275725
304,6.5730773696828555
305,6.578512151990621
306,6.620172098698336
307,6.633642374404535
308,6.579326569945031
309,6.602874185692869
310,6.5944418492237
311,6.593791649968853
312,6.507594973689707
313,6.595707648353567
314,6.546925320696997
315,6.524970035189949
316,6.594767581265251
317,6.520853679294022
318,6.5757165479639745
319,6.497433804995645
320,6.519987250580731
321,6.582877037240462
