time,spot_ER_India
298,87.37846544379877
299,86.86574565709996
300,85.96632640575196
301,85.22623743850103
302,86.23900326358728
303,85.57717018718137
304,84.48974503113308
305,82.88862653578849
306,85.83769780116691
307,87.78105182877495
308,86.90253010813849
309,86.19299406252992
310,87.44769163991991
311,86.69464810747475
312,86.0811573424075
313,88.7486393588709
314,91.94356993711214
315,92.8712368297886
316,91.98552131811356
317,94.87010705245787
318,92.73714214270288
319,93.12289722247415
320,94.6506276318559
321,92.19283411304473
