time,spot_ER_India
274,69.58306268522462
275,68.60571920677359
276,68.56345421931307
277,69.11700215738145
278,69.9423973624313
279,68.95516552142689
280,69.81477919821043
281,69.55640883264267
282,68.25975593522308
283,69.8719025000307
284,68.74587623803151
285,69.80904678349079
286,72.71077373701061
287,74.30696545564845
288,73.63573265178515
289,73.77287044102235
290,73.1754195022526
291,73.96604993744934
292,76.08647264234061
293,76.31139033814958
294,76.09263110443524
295,76.47370937570403
296,75.87357221081375
297,75.44872752389573
298,76.85656399032021
299,75.86916967302699
300,75.32298556746515
301,78.0696669221134
302,78.69779480473441
303,79.89440935159534
304,79.92925216491649
305,80.99501201182876
306,82.32016414465593
307,83.29879639227663
308,83.88734946912248
309,83.43632945653995
310,84.3995045832198
311,84.24893184504397
312,83.88734901224458
313,85.06108651369715
314,83.43358922396808
315,81.58117744393043
316,82.2258484534646
317,82.07898886737208
318,80.75141185678018
319,81.08188345623863
320,80.14294114028101
321,80.1230836520122
