time,spot_ER_India
274,48.609964132951546
275,48.78470987196974
276,49.21852109559822
277,48.80772358825005
278,49.49040888489969
279,50.38299008764498
280,49.694654309387495
281,50.13352983991637
282,49.493500910888855
283,50.294021866661126
284,50.15543839963234
285,49.71673969410682
286,51.03523151544807
287,51.032208913921224
288,50.931497304007095
289,51.24786505760531
290,51.536335554688186
291,51.75230769668451
292,52.48180786209882
293,52.13128805649094
294,52.47357650510967
295,52.34178533932307
296,53.0252217777372
297,52.77263841170687
298,52.75881932347288
299,52.92905151234214
300,52.92460936901175
301,52.93073583354246
302,53.43195686912955
303,53.046282935281305
304,53.50098751126282
305,53.52730015058859
306,53.509372562562774
307,53.76943680932198
308,53.86878938334084
309,53.54542144550912
310,54.329320523441595
311,54.37999240478925
312,54.73919378711896
313,54.324859779441255
314,54.43016958555465
315,54.89256871039669
316,54.241187267250794
317,54.99263750899843
318,54.34184434329583
319,54.67952316319028
320,56.87199364629464
321,55.653917327504715
