time,spot_ER_India
274,67.4472635041281
275,67.43801232051278
276,69.2793014795461
277,70.75387637953719
278,72.47968604250119
279,72.68116952780186
280,72.46023708654268
281,72.13844421969334
282,72.60035310286675
283,74.16552144200867
284,74.02707244517076
285,75.03870394177565
286,76.53376601725357
287,77.74430441727966
288,77.72416855103805
289,76.76109751208945
290,76.19553836420239
291,77.08254958439862
292,77.76619967613281
293,77.6930664675828
294,77.68143382469188
295,77.01786762055504
296,76.69599440932402
297,76.10324442018452
298,75.90151246317318
299,75.97549074715624
300,76.46567563303105
301,78.26511112427286
302,79.30083245295769
303,79.92055659370797
304,80.5877268677306
305,81.72653186914
306,83.21562705030502
307,83.96391346936781
308,84.43582830811158
309,84.76824124875037
310,84.66505849819923
311,84.82869378256963
312,84.89649101673035
313,85.16680514913732
314,84.05065755312425
315,82.21352790569252
316,81.62416010788634
317,81.11052785636107
318,80.34493784525374
319,79.5206273479718
320,78.60048047989537
321,78.35375787942748
