time,spot_ER_India
298,22.115260185832756
299,22.098348153325013
300,22.098255107812626
301,22.098254606676782
302,22.098254603967828
303,22.098254603953198
304,22.098254603953116
305,22.098254603953116
306,22.098254603953116
307,22.098254603953116
308,22.098254603953116
309,22.098254603953116
310,22.098254603953116
311,22.098254603953116
312,22.098254603953116
313,22.098254603953116
314,22.098254603953116
315,22.098254603953116
316,22.098254603953116
317,22.098254603953116
318,22.098254603953116
319,22.098254603953116
320,22.098254603953116
321,22.098254603953116
