time,spot_ER_India
274,78.56753294295308
275,80.29986244201466
276,79.82014416763242
277,80.47789267123706
278,87.18956101963575
279,84.65711411370202
280,79.51963466180565
281,82.28261866609276
282,85.24262129843633
283,81.79168567508991
284,84.46820319693765
285,91.27676854190128
286,79.35901345887373
287,80.46205913916175
288,82.21314310241839
289,82.10758979629578
290,82.99527482568107
291,85.13933437784392
292,82.38013543759448
293,85.96465504347861
294,78.83807638133658
295,77.75766140946884
296,80.81854147524159
297,82.40373842809912
298,88.67323963275295
299,76.37924540857837
300,74.81819212566613
301,78.1958895442474
302,87.4971988849799
303,85.62601508710804
304,89.96420902270518
305,88.10225176167248
306,81.55559376741813
307,87.37066715837184
308,78.69501165310031
309,86.36247868406129
310,87.19154668098082
311,87.86086155642022
312,85.0581667799116
313,88.0745969819373
314,91.6018298166804
315,79.57181116350279
316,92.40884425223653
317,85.98832875480278
318,78.89023677542026
319,87.01369265417483
320,85.41203546160763
321,78.90592900764898
