Date,Naive,AR(1),"ARIMAx(0,1,3)","ARNNx(1,4)","ARFIMAx(0,0.49002,5)",ETS,SETAR,TBATS,GARCH,BSTSx,DeepAR,NBEATSx,NHiTSx,DLinearx,NLinearx,TSMixerx,"NARFIMA(1,1,1,F)"
8/1/2023,90.9783,89.85385619,93.15223833,77.32091345,91.65217323,94.08463498,89.67629393,91.46391804,86.95771477,92.40068915,22.84659901,70.03975575,72.94919464,86.74523252,82.74794912,42.20413663,91.91017242
9/1/2023,90.9783,88.75420775,92.9064366,68.69217472,89.82190876,96.56972488,86.25898976,91.46391804,86.92943537,92.66008992,22.76641337,69.75983678,72.80864681,89.03121832,85.14998708,44.69436135,92.2854838
10/1/2023,90.9783,87.67880791,93.0501864,62.99888263,86.52263494,98.55779713,82.87130761,91.46391804,86.90117046,93.02192358,22.76452068,73.06784895,74.47387674,91.36595023,85.99697234,44.89199375,93.32519294
