Date,Naive,AR(2),"ARIMAx(0,1,1)","ARNNx(2,4)","ARFIMAx(0,0.49151,3)",ETS,SETAR,TBATS,GARCH,BSTSx,DeepAR,NBEATSx,NHiTSx,DLinearx,NLinearx,TSMixerx,"NARFIMA(3,2,1,F)"
11/1/2021,63.8734,51.33608219,68.85073443,51.41606584,51.86658392,63.87345428,65.1831744,63.89432432,63.91624384,69.51325869,19.40876521,139.989603,110.8339308,91.87481989,103.7017462,55.12733972,74.54254818
12/1/2021,63.8734,50.96604716,68.59066143,55.06166753,51.67740978,63.87345428,65.18400811,63.89432432,63.89992503,70.32686288,19.40876521,148.085126,111.172988,93.44375734,106.1174965,59.08891289,74.27330465
1/1/2022,63.8734,50.6042297,68.37255242,56.91451708,51.49444037,63.87345428,65.18468929,63.89432432,63.88361493,71.13718379,19.40876521,155.4978394,110.9504709,96.7843465,109.2039826,58.54618678,74.29655528
2/1/2022,63.8734,50.25044731,68.34748629,56.40544237,51.3173063,63.87345428,65.18523917,63.89432432,63.86731353,70.51978361,19.40876521,163.9453894,110.4972447,99.00044212,111.1337977,58.34612862,74.03491026
3/1/2022,63.8734,49.90452156,68.53730149,54.83092209,51.14567116,63.87345428,65.18568248,63.89432432,63.85102083,69.86521471,19.40876521,142.3627639,108.1337735,99.90580026,111.769554,58.750449,73.69741597
4/1/2022,63.8734,49.56627798,68.7400685,52.59261564,50.97922763,63.87345428,65.1860423,63.89432432,63.83473682,69.71855076,19.40876521,131.3629778,103.1026161,101.5997084,112.2316435,57.78930684,73.26594361
5/1/2022,63.8734,49.23554595,68.87399381,49.60375593,50.8176941,63.87345428,65.18633556,63.89432432,63.8184615,70.09403781,19.40876521,125.3104205,105.4388484,103.7710201,113.7035745,56.94733299,73.04707365
6/1/2022,63.8734,48.91215866,68.77732036,45.88381062,50.66081174,63.87345428,65.18657404,63.89432432,63.80219486,70.07489085,19.40876521,128.4773544,103.8154155,105.897017,114.7845296,55.67795439,72.97697803
7/1/2022,63.8734,48.59595302,68.94347068,42.13424239,50.50834211,63.87345428,65.18676731,63.89432432,63.78593691,70.36982098,19.40876521,144.4866674,106.5241816,108.2112824,116.4024682,55.98196496,72.7120165
8/1/2022,63.8734,48.28676952,69.30923787,40.63566146,50.36006495,63.87345428,65.18692386,63.89432432,63.76968763,71.79555149,19.40876521,146.352932,109.4676033,108.1761409,117.4249193,58.94913426,72.76327438
9/1/2022,63.8734,47.98445223,68.86293095,39.19189711,50.21577635,63.87345428,65.18705092,63.89432432,63.75344703,71.32018533,19.40876521,148.8743993,108.0151398,108.5682886,118.7276421,55.79200294,72.09141909
10/1/2022,63.8734,47.68884866,68.44456497,37.17397627,50.07528712,63.87345428,65.18715417,63.89432432,63.7372151,71.52874511,19.40876521,131.2812456,107.5778351,109.7071551,120.0226242,55.04892693,71.71290021
11/1/2022,63.8734,47.39980972,68.91543181,36.03846513,49.93842137,63.87345428,65.18723802,63.89432432,63.72099183,72.26448869,19.40876521,128.0726328,106.7301304,110.8308506,121.0044633,56.6662475,71.36423287
12/1/2022,63.8734,47.11718962,68.48489452,34.89683796,49.80501526,63.87345428,65.18730604,63.89432432,63.70477722,73.2659211,19.40876521,130.0752265,105.6868202,112.2466253,121.1307472,55.53956455,70.96224288
1/1/2023,63.8734,46.84084582,69.81645309,34.06273846,49.6749159,63.87345428,65.18736122,63.89432432,63.68857127,74.07240731,19.40876521,131.9790214,106.4134569,114.0988787,121.6520569,54.00351981,70.8870532
2/1/2023,63.8734,46.57063894,71.01071856,33.57922191,49.54798038,63.87345428,65.18740601,63.89432432,63.67237397,73.49018882,19.40876521,130.2281865,103.3911846,113.3452706,120.877886,52.73396451,71.94835569
3/1/2023,63.8734,46.30643269,71.11939197,33.3263205,49.42407486,63.87345428,65.18744237,63.89432432,63.65618532,72.76144084,19.40876521,126.6055596,105.6234928,113.8485784,120.6356601,52.81288818,71.5032978
4/1/2023,63.8734,46.04809381,70.64492106,33.08592292,49.30307386,63.87345428,65.18747189,63.89432432,63.64000531,72.7387363,19.40876521,119.9964341,105.0004133,116.1891641,122.3282334,55.35184839,71.38740223
5/1/2023,63.8734,45.795492,70.96655374,32.81957489,49.18485952,63.87345428,65.18749584,63.89432432,63.62383394,73.09866717,19.40876521,131.8332545,107.3979412,118.6330798,123.9652126,52.70316738,71.21615721
6/1/2023,63.8734,45.54849985,71.12876604,32.53430785,49.069321,63.87345428,65.18751528,63.89432432,63.60767121,73.00061476,19.40876521,127.8418591,108.6537326,118.2800604,124.3617788,54.56294778,71.21964916
7/1/2023,63.8734,45.3069928,71.34125428,32.28022067,48.95635393,63.87345428,65.18753106,63.89432432,63.59151711,73.17189496,19.40876521,133.3781315,110.9263857,116.7851753,124.027779,52.85776687,71.14079158
8/1/2023,63.8734,45.07084902,72.15139471,31.91262398,48.84585988,63.87345428,65.18754386,63.89432432,63.57537164,74.54453835,19.40876521,131.3400517,109.523365,115.9059696,123.4853487,50.98198137,71.24756678
9/1/2023,63.8734,44.83994941,72.90070368,31.71232276,48.73774595,63.87345428,65.18755426,63.89432432,63.55923479,74.01202956,19.40876521,124.3219021,110.4111463,115.329795,124.0516162,51.84646754,70.82017266
10/1/2023,63.8734,44.61417752,73.23029088,31.56964995,48.6319243,63.87345428,65.1875627,63.89432432,63.54310656,74.15955183,19.40876521,123.413781,108.6015592,116.6825567,124.8813578,51.58782278,71.37249571
