Date,spot_ER_Russia,SR_interest_rate_russia,SR_interest_rate_USA,SR_Interest_rate_diff_R_U,CPI_Inflation_Russia,CPI_inflation_USA,CPI_inflation_diff_R_U,Oil_price_growth_rate_WTI,global_EPU_PPP,gprc_russia,US_EMV,US_MPU
2019-10-01,63.87,6.5,1.83,4.67,3.77,1.76,2,-23.73,273.53,1.07,13.92,373
2019-11-01,64.08,6.5,1.55,4.95,3.54,2.05,1.49,0.87,267.39,0.47,18.75,263
2019-12-01,61.91,6.25,1.55,4.7,3.05,2.29,0.76,22.38,281.98,0.58,21.41,257
2020-01-01,63.04,6.25,1.55,4.7,2.42,2.49,-0.06,12.67,239.1,1.18,15.69,200
2020-02-01,66.99,6,1.58,4.42,2.31,2.33,-0.02,-7.98,235.76,0.66,24.44,262
2020-03-01,77.73,6,0.65,5.35,2.55,1.54,1.01,-49.6,354.97,0.43,63.36,196
2020-04-01,73.69,5.5,0.05,5.45,3.1,0.33,2.77,-73.42,367.47,0.35,38.32,105
2020-05-01,70.75,5.5,0.05,5.45,3.03,0.12,2.91,-52.62,437.08,0.29,35.74,117
2020-06-01,69.95,4.5,0.08,4.42,3.21,0.65,2.57,-29.91,342.27,0.49,37.05,135
2020-07-01,73.36,4.25,0.09,4.16,3.37,0.99,2.38,-29.04,350.27,0.4,28.31,157
2020-08-01,74.64,4.25,0.1,4.15,3.57,1.31,2.26,-22.72,313.39,0.51,29.67,140
2020-09-01,79.68,4.25,0.09,4.16,3.67,1.37,2.3,-30.36,299.02,0.93,20.93,175
2020-10-01,79.33,4.25,0.09,4.16,3.98,1.18,2.8,-26.97,310.66,0.85,30.43,101
2020-11-01,75.86,4.25,0.09,4.16,4.42,1.17,3.25,-26.97,378.91,0.45,20.5,139
2020-12-01,73.88,4.25,0.09,4.16,4.91,1.36,3.55,-21.38,301.49,0.58,22.39,55
2021-01-01,76.25,4.25,0.09,4.16,5.19,1.4,3.79,-10.17,288.18,0.59,26.76,129
2021-02-01,74.44,4.25,0.08,4.17,5.67,1.68,3.99,17.05,220.64,0.51,24.27,100
2021-03-01,75.7,4.5,0.07,4.43,5.78,2.62,3.16,112.08,220.97,0.63,29.48,152
2021-04-01,74.38,5,0.07,4.93,5.52,4.16,1.36,261.81,207.93,1.2,24.68,44
2021-05-01,73.59,5,0.06,4.94,6.01,4.99,1.02,126.4,195.98,0.83,19.79,133
2021-06-01,72.37,5.5,0.08,5.42,6.51,5.39,1.12,86.29,187.23,0.83,21.95,152
2021-07-01,73.14,6.5,0.1,6.4,6.47,5.37,1.1,78.29,206.02,0.49,16.62,123
2021-08-01,73.57,6.5,0.09,6.41,6.69,5.25,1.44,60.19,222.9,0.69,19.64,189
2021-09-01,72.76,6.75,0.08,6.67,7.41,5.39,2.02,80.65,208.52,0.6,23.48,217
2021-10-01,70.52,7.5,0.08,7.42,8.14,6.22,1.91,106.48,200.58,0.55,19.68,80
2021-11-01,74.98,7.5,0.08,7.42,8.4,6.81,1.59,91.1,228.85,1.21,14.14,244
2021-12-01,74.29,8.5,0.08,8.42,8.39,7.04,1.36,52.54,270.54,1.72,16.7,230
2022-01-01,77.82,8.5,0.08,8.42,8.74,7.48,1.26,60.61,240.49,2.78,20.5,226
2022-02-01,83.55,20,0.08,19.92,9.16,7.87,1.29,54.65,202.07,5.4,23.03,292
2022-03-01,84.09,20,0.2,19.8,16.7,8.54,8.16,74.32,338.13,8.8,23.05,366
2022-04-01,71.02,17,0.33,16.67,17.8,8.26,9.54,66.05,322.65,4.83,20.31,345
2022-05-01,63.1,11,0.77,10.23,17.1,8.58,8.52,68.37,302.72,3.19,27.86,266
2022-06-01,51.16,9.5,1.21,8.29,15.9,9.06,6.84,60.66,291.81,3.03,17.1,189
2022-07-01,61.31,8,1.68,6.32,15.1,8.52,6.58,40.4,327.86,2.7,24.54,284
2022-08-01,60.37,8,2.33,5.67,14.3,8.26,6.04,38.04,262.56,2.42,14.14,183
2022-09-01,57.41,7.5,2.56,4.94,13.7,8.2,5.5,17.98,288.36,3.02,16.86,272
2022-10-01,61.53,7.5,3.08,4.42,12.6,7.75,4.85,7.28,306.82,3.39,20.87,231
2022-11-01,61.07,7.5,3.78,3.72,12,7.11,4.89,6.3,345.51,2.46,17.71,258
2022-12-01,70.34,7.5,4.1,3.4,11.9,6.45,5.45,6.66,278.5,2.28,21.68,206
2023-01-01,69.59,7.5,4.33,3.17,11.8,6.41,5.39,-6.04,262.31,1.97,20.09,210
2023-02-01,75.43,7.5,4.57,2.93,11,6.04,4.96,-15.92,260.53,2.3,18.83,203
2023-03-01,77.09,7.5,4.65,2.85,3.5,4.98,-1.48,-32.34,328.4,2.05,31.19,222
2023-04-01,80.51,7.5,4.83,2.67,2.3,4.93,-2.63,-22.41,249.85,1.81,21.04,237
2023-05-01,80.69,7.5,5.06,2.44,2.5,4.05,-1.55,-34.67,230.89,1.9,23.97,292
2023-06-01,87.03,7.5,5.08,2.42,3.2,2.97,0.23,-38.69,243.78,2.22,18.83,245
2023-07-01,90.98,8.5,5.12,3.38,4.3,3.18,1.12,-25.66,241.79,2.07,18.11,111
2023-08-01,95.93,12,5.33,6.67,5.2,3.67,1.53,-13.15,229.01,1.97,17.28,194
2023-09-01,97.41,13,5.33,7.67,6,3.7,2.3,5.74,262.2,1.91,19.57,178
2023-10-01,93.24,15,5.33,9.67,6.7,3.24,3.46,-2.08,240.39,1.84,16.61,206
