Date,spot_ER_India,SR_interest_rate_india,SR_interest_rate_USA,SR_Interest_rate_diff_I_U,CPI_Inflation_India,CPI_inflation_USA,CPI_inflation_diff_I_U,Oil_price_growth_rate_WTI,global_EPU_PPP,gprc_india,US_EMV,US_MPU
2018-03-01,65.05,6.25,1.51,4.74,4.36,2.36,2,27.28,163,0.13,17.6,119
2018-04-01,65.67,6.25,1.69,4.56,3.97,2.46,1.51,29.58,162.13,0.15,17.06,104
2018-05-01,67.51,6.25,1.7,4.55,3.96,2.8,1.16,43.94,175.52,0.29,15.95,153
2018-06-01,67.79,6.45,1.82,4.63,3.93,2.87,1.06,50.22,177.61,0.16,12.35,101
2018-07-01,68.69,6.5,1.91,4.59,5.61,2.95,2.66,52.58,228.81,0.18,12.58,128
2018-08-01,69.63,6.75,1.91,4.84,5.61,2.7,2.91,41.37,188.56,0.15,14.98,126
2018-09-01,72.28,6.75,1.95,4.8,5.61,2.28,3.34,41.13,205.74,0.16,18.34,102
2018-10-01,73.56,6.75,2.19,4.56,5.23,2.52,2.7,37.19,231.89,0.21,24.37,122
2018-11-01,71.74,6.75,2.2,4.55,4.86,2.18,2.68,-0.97,260.53,0.18,22.66,135
2018-12-01,70.83,6.75,2.27,4.48,5.24,1.91,3.33,-15.54,274.74,0.08,39.39,317
2019-01-01,70.71,6.75,2.4,4.35,6.6,1.55,5.05,-19.43,263.59,0.09,38.01,281
2019-02-01,71.17,6.56,2.4,4.16,6.97,1.52,5.45,-11.62,213.66,0.36,16.68,245
2019-03-01,69.49,6.5,2.41,4.09,7.67,1.86,5.8,-7.42,260.04,0.31,20.77,159
2019-04-01,69.41,6.25,2.42,3.83,8.33,2,6.34,-3.68,202.29,0.35,18.81,87
2019-05-01,69.78,6.25,2.39,3.86,8.65,1.79,6.86,-13.1,255.74,0.26,19.53,109
2019-06-01,69.39,6,2.38,3.62,8.59,1.65,6.94,-19.46,337.76,0.21,19.79,394
2019-07-01,68.74,6,2.4,3.6,5.98,1.81,4.17,-19.27,271.12,0.17,21.45,327
2019-08-01,71.19,5.72,2.13,3.59,6.31,1.75,4.56,-19.28,321,0.35,30.88,407
2019-09-01,71.31,5.65,2.04,3.61,6.98,1.71,5.27,-18.99,290.41,0.16,16.24,292
2019-10-01,71.01,5.4,1.83,3.57,7.62,1.76,5.85,-23.73,273.53,0.17,13.92,373
2019-11-01,71.49,5.4,1.55,3.85,8.61,2.05,6.56,0.87,267.39,0.08,18.75,263
2019-12-01,71.16,5.4,1.55,3.85,9.63,2.29,7.35,22.38,281.98,0.09,21.41,257
2020-01-01,71.28,5.4,1.55,3.85,7.49,2.49,5.01,12.67,239.1,0.18,15.69,200
2020-02-01,71.53,5.4,1.58,3.82,6.84,2.33,4.51,-7.98,235.76,0.21,24.44,262
2020-03-01,74.55,5.21,0.65,4.56,5.5,1.54,3.96,-49.6,354.97,0.12,63.36,196
2020-04-01,76.17,4.65,0.05,4.6,5.45,0.33,5.12,-73.42,367.47,0.12,38.32,105
2020-05-01,75.66,4.49,0.05,4.44,5.1,0.12,4.98,-52.62,437.08,0.15,35.74,117
2020-06-01,75.71,4.25,0.08,4.17,5.06,0.65,4.42,-29.91,342.27,0.32,37.05,135
2020-07-01,74.93,4.25,0.09,4.16,5.33,0.99,4.34,-29.04,350.27,0.23,28.31,157
2020-08-01,74.57,4.25,0.1,4.15,5.63,1.31,4.32,-22.72,313.39,0.1,29.67,140
2020-09-01,73.52,4.25,0.09,4.16,5.64,1.37,4.27,-30.36,299.02,0.22,20.93,175
2020-10-01,73.56,4.25,0.09,4.16,5.9,1.18,4.72,-26.97,310.66,0.12,30.43,101
2020-11-01,74.23,4.25,0.09,4.16,5.28,1.17,4.11,-26.97,378.91,0.18,20.5,139
2020-12-01,73.62,4.25,0.09,4.16,3.69,1.36,2.32,-21.38,301.49,0.12,22.39,55
2021-01-01,73.11,4.25,0.09,4.16,3.16,1.4,1.76,-10.17,288.18,0.12,26.76,129
2021-02-01,72.81,4.25,0.08,4.17,4.49,1.68,2.82,17.05,220.64,0.14,24.27,100
2021-03-01,72.82,4.25,0.07,4.18,5.67,2.62,3.05,112.08,220.97,0.31,29.48,152
2021-04-01,74.52,4.25,0.07,4.18,5.14,4.16,0.98,261.81,207.93,0.18,24.68,44
2021-05-01,73.21,4.25,0.06,4.19,5.26,4.99,0.27,126.4,195.98,0.31,19.79,133
2021-06-01,73.58,4.25,0.08,4.17,5.58,5.39,0.19,86.29,187.23,0.19,21.95,152
2021-07-01,74.54,4.25,0.1,4.15,5.26,5.37,-0.1,78.29,206.02,0.17,16.62,123
2021-08-01,74.12,4.25,0.09,4.16,4.81,5.25,-0.44,60.19,222.9,0.14,19.64,189
2021-09-01,73.64,4.25,0.08,4.17,4.4,5.39,-0.99,80.65,208.52,0.43,23.48,217
2021-10-01,74.92,4.25,0.08,4.17,4.52,6.22,-1.7,106.48,200.58,0.26,19.68,80
2021-11-01,74.48,4.25,0.08,4.17,4.84,6.81,-1.97,91.1,228.85,0.16,14.14,244
2021-12-01,75.39,4.25,0.08,4.17,5.56,7.04,-1.48,52.54,270.54,0.15,16.7,230
2022-01-01,74.41,4.25,0.08,4.17,5.84,7.48,-1.64,60.61,240.49,0.22,20.5,226
2022-02-01,74.97,4.25,0.08,4.17,5.04,7.87,-2.83,54.65,202.07,0.17,23.03,292
2022-03-01,76.19,4.25,0.2,4.05,5.35,8.54,-3.19,74.32,338.13,0.47,23.05,366
2022-04-01,76.17,4.25,0.33,3.92,6.33,8.26,-1.93,66.05,322.65,0.41,20.31,345
2022-05-01,77.29,4.65,0.77,3.88,6.97,8.58,-1.62,68.37,302.72,0.35,27.86,266
2022-06-01,78.09,5.03,1.21,3.82,6.16,9.06,-2.9,60.66,291.81,0.38,17.1,189
2022-07-01,79.59,5.15,1.68,3.47,5.78,8.52,-2.74,40.4,327.86,0.27,24.54,284
2022-08-01,79.51,5.65,2.33,3.32,5.85,8.26,-2.41,38.04,262.56,0.25,14.14,183
2022-09-01,80.25,5.75,2.56,3.19,6.49,8.2,-1.71,17.98,288.36,0.51,16.86,272
2022-10-01,82.29,6.15,3.08,3.07,6.08,7.75,-1.66,7.28,306.82,0.31,20.87,231
2022-11-01,81.68,6.15,3.78,2.37,5.41,7.11,-1.7,6.3,345.51,0.3,17.71,258
2022-12-01,82.47,6.43,4.1,2.33,5.5,6.45,-0.95,6.66,278.5,0.25,21.68,206
2023-01-01,81.74,6.5,4.33,2.17,6.16,6.41,-0.26,-6.04,262.31,0.2,20.09,210
2023-02-01,82.6,6.69,4.57,2.12,6.16,6.04,0.12,-15.92,260.53,0.29,18.83,203
2023-03-01,82.27,6.75,4.65,2.1,5.79,4.98,0.81,-32.34,328.4,0.31,31.19,222
2023-04-01,81.97,6.75,4.83,1.92,5.09,4.93,0.16,-22.41,249.85,0.25,21.04,237
2023-05-01,82.3,6.75,5.06,1.69,4.42,4.05,0.37,-34.67,230.89,0.32,23.97,292
2023-06-01,82.23,6.75,5.08,1.67,5.57,2.97,2.6,-38.69,243.78,0.26,18.83,245
2023-07-01,82.16,6.75,5.12,1.63,7.54,3.18,4.37,-25.66,241.79,0.21,18.11,111
2023-08-01,82.81,6.75,5.33,1.42,6.91,3.67,3.25,-13.15,229.01,0.32,17.28,194
2023-09-01,83.07,6.75,5.33,1.42,4.72,3.7,1.02,5.74,262.2,0.46,19.57,178
2023-10-01,83.22,6.75,5.33,1.42,4.45,3.24,1.21,-2.08,240.39,0.22,16.61,206
