Date,spot_ER_China,SR_interest_rate_china,SR_interest_rate_USA,SR_Interest_rate_diff_B_U,CPI_Inflation_China,CPI_inflation_USA,CPI_inflation_diff_C_U,Oil_price_growth_rate_WTI,global_EPU_PPP,gprc_china,US_EMV,US_MPU
2018-10-01,6.92,,2.19,-2.19,2.5,2.52,-0.03,37.19,231.89,1.04,24.37,122
2018-11-01,6.94,,2.2,-2.2,2.11,2.18,-0.07,-0.97,260.53,0.67,22.66,135
2018-12-01,6.88,,2.27,-2.27,1.91,1.91,0,-15.54,274.74,0.82,39.39,317
2019-01-01,6.79,,2.4,-2.4,1.71,1.55,0.16,-19.43,263.59,0.93,38.01,281
2019-02-01,6.74,,2.4,-2.4,1.5,1.52,-0.02,-11.62,213.66,1.07,16.68,245
2019-03-01,6.71,,2.41,-2.41,2.28,1.86,0.42,-7.42,260.04,0.77,20.77,159
2019-04-01,6.72,,2.42,-2.42,2.57,2,0.57,-3.68,202.29,0.56,18.81,87
2019-05-01,6.85,,2.39,-2.39,2.76,1.79,0.97,-13.1,255.74,1.17,19.53,109
2019-06-01,6.9,,2.38,-2.38,2.67,1.65,1.02,-19.46,337.76,1.29,19.79,394
2019-07-01,6.88,,2.4,-2.4,2.76,1.81,0.95,-19.27,271.12,0.76,21.45,327
2019-08-01,7.06,,2.13,-2.13,2.83,1.75,1.08,-19.28,321,1.22,30.88,407
2019-09-01,7.11,,2.04,-2.04,3,1.71,1.29,-18.99,290.41,0.73,16.24,292
2019-10-01,7.1,,1.83,-1.83,3.75,1.76,1.98,-23.73,273.53,0.67,13.92,373
2019-11-01,7.02,,1.55,-1.55,4.51,2.05,2.46,0.87,267.39,0.6,18.75,263
2019-12-01,7.01,,1.55,-1.55,4.41,2.29,2.13,22.38,281.98,0.6,21.41,257
2020-01-01,6.92,,1.55,-1.55,5.42,2.49,2.93,12.67,239.1,1.26,15.69,200
2020-02-01,7,,1.58,-1.58,5.18,2.33,2.85,-7.98,235.76,0.87,24.44,262
2020-03-01,7.02,,0.65,-0.65,4.27,1.54,2.73,-49.6,354.97,0.67,63.36,196
2020-04-01,7.07,,0.05,-0.05,3.25,0.33,2.92,-73.42,367.47,0.6,38.32,105
2020-05-01,7.1,,0.05,-0.05,2.41,0.12,2.29,-52.62,437.08,0.76,35.74,117
2020-06-01,7.08,,0.08,-0.08,2.51,0.65,1.86,-29.91,342.27,0.77,37.05,135
2020-07-01,7,,0.09,-0.09,1.76,0.99,0.77,-29.04,350.27,0.93,28.31,157
2020-08-01,6.93,,0.1,-0.1,2.39,1.31,1.08,-22.72,313.39,0.66,29.67,140
2020-09-01,6.81,,0.09,-0.09,1.73,1.37,0.36,-30.36,299.02,0.86,20.93,175
2020-10-01,6.73,,0.09,-0.09,0.54,1.18,-0.64,-26.97,310.66,0.65,30.43,101
2020-11-01,6.6,,0.09,-0.09,-0.45,1.17,-1.62,-26.97,378.91,0.42,20.5,139
2020-12-01,6.54,,0.09,-0.09,0.27,1.36,-1.09,-21.38,301.49,0.59,22.39,55
2021-01-01,6.47,,0.09,-0.09,-0.22,1.4,-1.62,-10.17,288.18,0.77,26.76,129
2021-02-01,6.46,,0.08,-0.08,-0.42,1.68,-2.1,17.05,220.64,0.72,24.27,100
2021-03-01,6.51,,0.07,-0.07,0.32,2.62,-2.3,112.08,220.97,0.84,29.48,152
2021-04-01,6.52,,0.07,-0.07,0.92,4.16,-3.24,261.81,207.93,0.74,24.68,44
2021-05-01,6.43,,0.06,-0.06,1.64,4.99,-3.35,126.4,195.98,0.64,19.79,133
2021-06-01,6.43,,0.08,-0.08,1.24,5.39,-4.15,86.29,187.23,0.73,21.95,152
2021-07-01,6.48,,0.1,-0.1,1.91,5.37,-3.45,78.29,206.02,0.52,16.62,123
2021-08-01,6.48,,0.09,-0.09,0.64,5.25,-4.61,60.19,222.9,0.59,19.64,189
2021-09-01,6.46,,0.08,-0.08,0.46,5.39,-4.93,80.65,208.52,0.84,23.48,217
2021-10-01,6.42,,0.08,-0.08,1.43,6.22,-4.79,106.48,200.58,0.76,19.68,80
2021-11-01,6.39,,0.08,-0.08,2.48,6.81,-4.33,91.1,228.85,0.8,14.14,244
2021-12-01,6.37,,0.08,-0.08,1.44,7.04,-5.59,52.54,270.54,0.86,16.7,230
2022-01-01,6.36,,0.08,-0.08,0.99,7.48,-6.49,60.61,240.49,0.8,20.5,226
2022-02-01,6.34,,0.08,-0.08,0.99,7.87,-6.89,54.65,202.07,1.5,23.03,292
2022-03-01,6.34,,0.2,-0.2,1.49,8.54,-7.06,74.32,338.13,2.47,23.05,366
2022-04-01,6.43,,0.33,-0.33,2.18,8.26,-6.07,66.05,322.65,1.13,20.31,345
2022-05-01,6.7,,0.77,-0.77,2.09,8.58,-6.49,68.37,302.72,1.01,27.86,266
2022-06-01,6.7,,1.21,-1.21,2.49,9.06,-6.56,60.66,291.81,0.85,17.1,189
2022-07-01,6.74,,1.68,-1.68,2.69,8.52,-5.84,40.4,327.86,0.81,24.54,284
2022-08-01,6.8,,2.33,-2.33,2.49,8.26,-5.78,38.04,262.56,1.24,14.14,183
2022-09-01,7.02,,2.56,-2.56,2.78,8.2,-5.42,17.98,288.36,1.14,16.86,272
2022-10-01,7.19,,3.08,-3.08,2.17,7.75,-5.57,7.28,306.82,1.18,20.87,231
2022-11-01,7.18,,3.78,-3.78,1.57,7.11,-5.54,6.3,345.51,1.12,17.71,258
2022-12-01,6.97,,4.1,-4.1,1.78,6.45,-4.68,6.66,278.5,0.87,21.68,206
2023-01-01,6.79,,4.33,-4.33,2.06,6.41,-4.35,-6.04,262.31,0.67,20.09,210
2023-02-01,6.84,,4.57,-4.57,0.98,6.04,-5.06,-15.92,260.53,1.49,18.83,203
2023-03-01,6.89,,4.65,-4.65,0.68,4.98,-4.3,-32.34,328.4,1.41,31.19,222
2023-04-01,6.89,,4.83,-4.83,0.1,4.93,-4.83,-22.41,249.85,1.23,21.04,237
2023-05-01,6.99,,5.06,-5.06,0.19,4.05,-3.85,-34.67,230.89,1.08,23.97,292
2023-06-01,7.16,,5.08,-5.08,0,2.97,-2.97,-38.69,243.78,1.06,18.83,245
2023-07-01,7.19,,5.12,-5.12,-0.29,3.18,-3.47,-25.66,241.79,0.98,18.11,111
2023-08-01,7.25,,5.33,-5.33,0.1,3.67,-3.57,-13.15,229.01,0.99,17.28,194
2023-09-01,7.3,,5.33,-5.33,0,3.7,-3.7,5.74,262.2,1.09,19.57,178
2023-10-01,7.31,,5.33,-5.33,-0.19,3.24,-3.43,-2.08,240.39,1.04,16.61,206
