"Date","ARIMAx","BSTSx","NARFIMAx","Interval_L","Interval_U","Observed"
2021-11-01,6.356971704,6.352191165,6.534204299,6.33333031285875,6.7350782860545,6.3889
2021-12-01,6.357220789,6.349064187,6.440460184,6.23958619704417,6.64133417023991,6.3693
2022-01-01,6.350475583,6.302011887,6.462064372,6.26119038506313,6.66293835825887,6.3556
2022-02-01,6.353539227,6.302704904,6.49291034,6.29203635389846,6.69378432709421,6.3436
2022-03-01,6.36370652,6.295041969,6.535293495,6.33441950851424,6.73616748170999,6.3446
2022-04-01,6.362343145,6.291248328,6.573807292,6.37293330503709,6.77468127823284,6.431
2022-05-01,6.360121964,6.287552401,6.625257976,6.42438398981063,6.82613196300638,6.699
2022-06-01,6.360113455,6.279844958,6.678544753,6.47767076622445,6.87941873942019,6.6952
2022-07-01,6.361657422,6.281408943,6.730472429,6.52959844242802,6.93134641562376,6.7352
2022-08-01,6.369169704,6.287750472,6.779170166,6.57829617920059,6.98004415239633,6.8007
2022-09-01,6.373542551,6.266594987,6.815340399,6.61446641208028,7.01621438527603,7.0195
2022-10-01,6.375958411,6.262043221,6.855930809,6.65505682254669,7.05680479574243,7.1902
2022-11-01,6.373295316,6.245508562,6.90007796,6.69920397292527,7.10095194612101,7.1812
2022-12-01,6.374288523,6.248065792,6.947130227,6.74625624047126,7.14800421366701,6.9717
2023-01-01,6.371630067,6.210011817,6.991273987,6.7904,7.19214797319574,6.7904
2023-02-01,6.36808163,6.205644583,7.027636891,6.82676290447043,7.22851087766618,6.838
2023-03-01,6.371835174,6.199659274,7.06280104,6.86192705333342,7.26367502652916,6.8909
2023-04-01,6.369816142,6.197730652,7.092748347,6.89187436087673,7.29362233407247,6.8876
2023-05-01,6.374559653,6.204283378,7.110570483,6.90969649642126,7.31144446961701,6.9854
2023-06-01,6.377906402,6.201626179,7.142370057,6.94149607065418,7.34324404384992,7.1614
2023-07-01,6.388170446,6.208798432,7.167057411,6.96618342391123,7.36793139710697,7.1863
2023-08-01,6.377566717,6.202859112,7.189090329,6.98821634222346,7.38996431541921,7.2486
2023-09-01,6.373204451,6.171429173,7.215277006,7.01440301925297,7.41615099244871,7.2979
2023-10-01,6.370661753,6.163116369,7.227965851,7.02709186457502,7.42883983777076,7.3071
