"Date","ARIMAx","BSTSx","NARFIMAx","Interval_L","Interval_U","Observed"
2021-11-01,5.408856587,5.403206139,5.236564109,4.93595143813694,5.53717678078744,5.5668
2021-12-01,5.422807966,5.431728812,5.232372855,4.93176018327459,5.53298552592509,5.6549
2022-01-01,5.412296254,5.419961241,5.216952658,4.91633998662737,5.51756532927787,5.53
2022-02-01,5.440521558,5.481031432,5.164788136,4.86417546451253,5.46540080716303,5.1984
2022-03-01,5.443467934,5.501195999,5.111484418,4.81087174692597,5.41209708957647,4.9764
2022-04-01,5.482982438,5.511445385,5.08295849,4.78234581861471,5.38357116126521,4.7547
2022-05-01,5.46737642,5.517114709,5.075032076,4.77441940513045,5.37564474778095,4.9615
2022-06-01,5.481109532,5.469359409,5.07120301,4.77059033912964,5.37181568178014,5.0477
2022-07-01,5.505194765,5.490284038,5.067587329,4.7669746573495,5.3682,5.3682
2022-08-01,5.535953341,5.565099151,5.076268502,4.77565583112297,5.37688117377347,5.1404
2022-09-01,5.636337628,5.570987938,5.063074263,4.76246159178714,5.36368693443764,5.2436
2022-10-01,5.64591968,5.609124365,5.063021535,4.76240886415573,5.36363420680623,5.2521
2022-11-01,5.652597767,5.610788705,5.063022869,4.76241019787842,5.36363554052891,5.268
2022-12-01,5.632893417,5.59078675,5.063933614,4.76332094228902,5.36454628493952,5.2454
2023-01-01,5.656973637,5.599024488,5.057880242,4.75726757081484,5.35849291346534,5.1922
2023-02-01,5.650249628,5.620141699,5.063686284,4.76307361243638,5.36429895508688,5.1808
2023-03-01,5.655265804,5.647771474,5.06754703,4.76693435909117,5.36815970174167,5.2086
2023-04-01,5.671803219,5.665754066,5.068205503,4.7675928315121,5.36881817416259,5.0215
2023-05-01,5.706038047,5.718488624,5.073432524,4.7728198522707,5.37404519492119,4.9813
2023-06-01,5.712754331,5.677705066,5.079843052,4.77923038023701,5.38045572288751,4.8537
2023-07-01,5.832250917,5.709429963,5.082101326,4.78148865507965,5.38271399773015,4.8005
2023-08-01,5.844564892,5.73524581,5.064055175,4.76344250364782,5.36466784629832,4.9012
2023-09-01,5.789669841,5.721209185,5.066075708,4.76546303675524,5.36668837940574,4.9387
2023-10-01,5.801613348,5.761511944,5.060540035,4.75992736379219,5.36115270644269,5.0559
