"Date","ARIMAx","BSTSx","NARFIMAx","Interval_L","Interval_U","Observed"
2019-11-01,70.69629847,71.22841264,76.04952646,72.0390810177121,80.0599719102228,71.4942
2019-12-01,70.88472453,71.23623302,72.67313302,68.6626875726407,76.6835784651515,71.1567
2020-01-01,70.95059426,71.01764592,73.77665402,69.766208575953,77.7870994684637,71.279
2020-02-01,70.91462007,71.13313932,72.66144118,68.6509957378374,76.6718866303482,71.5295
2020-03-01,70.99691933,70.96458894,72.11678226,68.1063368174116,76.1272277099223,74.5482
2020-04-01,70.93442588,70.7275996,71.63360974,67.6231642917667,75.6440551842774,76.1682
2020-05-01,70.99229809,71.25655002,71.33280303,67.3223575864999,75.3432484790107,75.6575
2020-06-01,71.10322559,71.6386262,70.89660569,66.8861602436348,74.9070511361456,75.7077
2020-07-01,71.26925565,71.64447672,70.30071213,66.290266683907,74.3111575764178,74.9286
2020-08-01,71.29288985,72.2080425,72.22379768,68.2133522327545,76.2342431252653,74.5657
2020-09-01,71.45640884,72.53772302,72.41349524,68.4030497964867,76.4239406889975,73.5233
2020-10-01,71.63442166,72.41673741,73.29699568,69.2865502320236,77.3074411245344,73.5648
2020-11-01,72.19029242,72.73917033,72.76981158,68.7593661376904,76.7802570302012,74.2311
2020-12-01,72.23612453,72.76178232,72.49141826,68.4809728100729,76.5018637025837,73.6195
2021-01-01,72.24760955,72.53292446,71.32905769,67.3186122466982,75.339503139209,73.1106
2021-02-01,72.23304848,72.57233146,71.60093871,67.590493258974,75.6113841514848,72.8053
2021-03-01,72.1960574,72.35368363,72.51365996,68.503214513605,76.5241054061157,72.8196
2021-04-01,72.30535289,72.15347764,72.49397162,68.4835261730605,76.5044170655713,74.5186
2021-05-01,72.517937,72.67816836,73.13833174,69.1278862943312,77.148777186842,73.2065
2021-06-01,72.74235841,73.06931247,75.32311432,71.3126688722988,79.3335597648096,73.5782
2021-07-01,73.03003882,73.04319096,77.21014635,73.1997009046403,81.220591797151,74.539
2021-08-01,73.13269609,73.58612174,77.52688783,73.5164423884309,81.5373332809417,74.1155
2021-09-01,73.19708844,73.95273011,78.45450683,74.4440613831867,82.4649522756975,73.6357
2021-10-01,73.31298468,73.80149321,76.98079126,72.9703458126719,80.9912367051827,74.92
2021-11-01,73.48775187,74.06038257,78.0326496,74.0222041565842,82.043095049095,74.477
2021-12-01,73.46917953,74.06306547,76.60713286,72.5966874169053,80.6175783094161,75.3948
2022-01-01,73.24637079,73.89113319,76.92548256,72.9150371109268,80.9359280034375,74.4075
2022-02-01,73.33527003,73.94368199,76.37163101,72.3611855667707,80.3820764592815,74.9695
2022-03-01,73.51114758,73.79649796,76.53891395,72.5284685020815,80.5493593945922,76.1896
2022-04-01,73.61004154,73.62220087,76.78303604,72.7725905962895,80.7934814888003,76.1719
2022-05-01,73.66839632,74.10499383,77.36330422,73.3528587752028,81.3737496677136,77.2933
2022-06-01,73.70043266,74.50066561,77.54310415,73.532658702248,81.5535495947587,78.09
2022-07-01,73.80543284,74.56105974,77.88538189,73.8749364396738,81.8958273321846,79.5915
2022-08-01,73.95905902,75.13322168,78.44168535,74.4312399050038,82.4521307975146,79.5065
2022-09-01,73.9320381,75.45690145,78.59950652,74.5890610746248,82.6099519671355,80.2538
2022-10-01,73.95911965,75.33160108,78.2783975,74.2679520542549,82.2888429467657,82.2915
2022-11-01,74.12184854,75.58396258,78.74627367,74.7358282239411,82.7567191164519,81.6805
2022-12-01,74.08072073,75.64952802,78.1469811,74.1365356521639,82.1574265446747,82.4738
2023-01-01,74.3156152,75.4498251,79.78257991,75.77213446004,83.7930253525508,81.741
2023-02-01,74.36464293,75.49883257,81.87254225,77.8620968001656,85.8829876926764,82.5995
2023-03-01,74.4995934,75.27981853,84.06037041,80.0499249682455,88.0708158607563,82.2665
2023-04-01,74.50191333,75.12819333,84.79891654,80.7884710973458,88.8093619898566,81.9685
2023-05-01,74.77656607,75.64500921,84.22714703,80.216701588206,88.2375924807168,82.2977
2023-06-01,74.875629,76.03875629,83.94083998,79.930394532479,87.9512854249897,82.2252
2023-07-01,75.05530223,76.06929933,83.56005727,79.549611827518,87.5705027200287,82.1565
2023-08-01,75.24194009,76.65708501,85.17608198,81.1656365352859,89.1865274277967,82.8122
2023-09-01,75.57043292,76.98778516,87.08044545,83.07,91.0908908925108,83.07
2023-10-01,75.75292573,76.87578178,87.74803174,83.737586294184,91.7584771866948,83.2162
