"Date","ARIMAx","BSTSx","NARFIMAx","Interval_L","Interval_U","Observed"
2021-11-01,70.83450333,70.68756743,70.17603839,57.5004845306151,82.1443472269659,74.9818
2021-12-01,71.1332198,70.93895998,69.62144003,56.8344762760912,81.478338972442,74.2926
2022-01-01,72.7509498,71.79553842,69.60459457,56.7070198877828,81.3508825841336,77.8174
2022-02-01,73.91434715,71.2218361,70.70802456,57.7265699666938,82.3704326630446,83.5485
2022-03-01,73.52121218,71.47970003,66.99757387,54.2664773296614,78.9103400260122,84.0851
2022-04-01,72.61240088,70.76715956,67.47705877,54.7240649040206,79.3679276003714,71.0237
2022-05-01,72.28867325,70.95863696,65.57944117,53.0379350576048,77.6817977539556,63.0975
2022-06-01,72.97111655,70.88861108,64.66247397,52.2687306986864,76.9125933950372,51.158
2022-07-01,74.09455371,71.39884229,63.81665248,51.6033231378117,76.2471858341626,61.3101
2022-08-01,75.69818374,72.31334309,66.67602607,54.4478901127317,79.0917528090825,60.3677
2022-09-01,75.07645769,72.4242216,69.94410726,57.413,82.0568626963508,57.413
2022-10-01,74.45520018,72.26428729,71.99953552,59.2790901046952,83.922952801046,61.5343
2022-11-01,74.96537532,72.84375795,75.52625651,62.6118976689446,87.2557603652954,61.0742
2022-12-01,75.37474698,73.30405723,71.01407273,58.4211732497627,83.0650359461135,70.3375
2023-01-01,75.81427484,74.22198853,69.2156577,56.7261021167071,81.369964813058,69.5927
2023-02-01,76.23607797,73.56968609,68.73707575,56.3304860149721,80.9743487113229,75.4323
2023-03-01,76.68084859,73.75221292,76.68161875,61.8819215462535,86.5257842426043,77.0863
2023-04-01,75.72097206,73.29174816,78.43745566,62.4725762514548,87.1164389478056,80.5093
2023-05-01,76.28078934,73.44573968,81.01388421,64.6485175990123,89.2923802953632,80.6872
2023-06-01,78.44139459,73.32964813,85.98247621,69.2047937382399,93.8486564345907,87.0341
2023-07-01,79.59817067,73.73243561,91.89594528,74.3931376163339,99.0370003126847,90.9783
2023-08-01,78.90539973,74.67114249,96.60251092,78.6679062874642,103.311768983815,95.9283
2023-09-01,78.17660545,74.85465509,96.55005665,79.3236254545443,103.967488150895,97.4147
2023-10-01,77.23783463,74.64070861,94.1015421,77.4506885962061,102.094551292557,93.2435
