Date,Naive,AR(2),"ARIMAx(0,1,0)","ARNNx(2,4)","ARFIMAx(0,0.49234,5)",ETS,SETAR,TBATS,GARCH,BSTSx,DeepAR,NBEATSx,NHiTSx,DLinearx,NLinearx,TSMixerx,"NARFIMA(1,2,1,F)"
5/1/2023,5.0215,4.957621746,4.874593955,4.882763925,4.878082136,4.956988777,5.008952697,4.94089658,5.020564643,4.808001139,5.102367289,4.600199261,5.282449006,4.407655527,4.824106929,3.810746565,4.972684502
6/1/2023,5.0215,4.912676092,4.886764816,4.739781703,4.766104182,4.90306782,5.016462433,4.94089658,5.019629929,4.758408248,5.110554823,5.666097571,4.982790362,4.695467505,4.952258458,4.175774093,4.909131682
7/1/2023,5.0215,4.87120779,4.879650154,4.614368392,4.672533681,4.858011918,5.052492945,4.94089658,5.018695858,4.768558831,5.110257541,4.191454151,5.082398847,5.141101438,5.268656293,4.082582355,4.925561011
8/1/2023,5.0215,4.830915568,4.905991963,4.520625177,4.617531722,4.820363583,5.061288769,4.94089658,5.017762429,4.811508121,5.110835449,4.101217794,5.145363314,5.930722485,5.712864908,4.377388803,4.953623748
9/1/2023,5.0215,4.791446115,4.902426177,4.35963999,4.580706414,4.788904948,5.062783426,4.94089658,5.016829643,4.842751599,5.111209404,6.725151299,5.394192436,6.083582057,5.781765468,4.215287289,4.908740511
10/1/2023,5.0215,4.752734798,4.940276761,4.291379041,4.558324841,4.762618376,5.060167181,4.94089658,5.015897498,4.876297241,5.111560341,4.645580559,5.069329193,6.440820716,5.919812426,4.521403091,4.923384838
