Date,Naive,AR(2),"ARIMAx(0,1,0)","ARNNx(2,4)","ARFIMA(0,0.49242,5)",ETS,SETAR,TBATS,GARCH,BSTSx,DeepAR,NBEATSx,NHiTSx,DLinearx,NLinearx,TSMixerx,"NARFIMA(2,5,2,F)"
8/1/2023,4.8005,4.764392737,4.643233758,4.656840816,4.757806819,4.749378366,4.81142939,4.802855319,4.801023443,4.605454177,4.929441912,4.868140271,4.974144827,5.897354302,5.755064988,4.152359003,4.863718191
9/1/2023,4.8005,4.731034775,4.654431385,4.501563666,4.711660194,4.706658058,4.839600295,4.802855319,4.800359751,4.636776268,4.969704134,5.184000203,5.025221179,5.756741738,5.722375483,4.30253182,4.934682224
10/1/2023,4.8005,4.698515409,4.647206946,4.362718583,4.678658253,4.670957439,4.855125988,4.802855319,4.799696558,4.640305025,5.001403563,4.960156529,5.025006301,5.88906983,6.042806351,4.396083271,5.095201867
