Date,Naive,AR(2),"ARIMAx(0,1,0)","ARNNx(2,4)","ARFIMAx(0,0.49035,5)",ETS,SETAR,TBATS,GARCH,BSTSx,DeepAR,NBEATSx,NHiTSx,DLinearx,NLinearx,TSMixerx,"NARFIMA(4,2,1,T)"
11/1/2021,4.0825,3.156149948,4.32882708,2.743276355,3.243222037,4.167327368,3.577403051,4.069662147,4.077495509,4.348917494,3.161402062,7.968404639,7.272343068,6.562625622,6.944901145,3.581095206,4.862926771
12/1/2021,4.0825,3.132101049,4.331140799,2.699340101,3.231741899,4.16739232,3.576404225,4.069662147,4.077297671,4.378680579,3.158473017,8.543727566,6.623353021,6.422239454,6.754978599,3.83336914,4.819023879
1/1/2022,4.0825,3.108798786,4.334828356,2.625813645,3.22072052,4.167444306,3.575587523,4.069662147,4.077100012,4.331292614,3.15585474,7.728460654,6.314158194,6.468842573,6.602776788,3.915518359,4.744001094
2/1/2022,4.0825,3.086219979,4.288048175,2.58459307,3.210125366,4.167485913,3.574919798,4.069662147,4.076902532,4.338627719,3.153512722,9.366193111,7.042543853,6.421567006,6.546929652,3.503741629,4.725505646
3/1/2022,4.0825,3.064342168,4.290020788,2.571828308,3.199927275,4.167519214,3.574373899,4.069662147,4.07670523,4.359709852,3.15141659,7.419739706,7.123387354,6.555281954,6.612571877,3.596299415,4.686425506
4/1/2022,4.0825,3.043143588,4.278261329,2.567088638,3.190099999,4.167545868,3.573927619,4.069662147,4.076508106,4.325019821,3.149539548,7.306665187,6.297431661,6.364878116,6.608685562,3.989158174,4.650142242
5/1/2022,4.0825,3.022603152,4.278659953,2.546214893,3.180619823,4.1675672,3.573562794,4.069662147,4.076311161,4.365841473,3.147857915,8.150818717,6.927831546,6.464343954,6.592590819,3.834456586,4.650166424
6/1/2022,4.0825,3.002700427,4.269035973,2.499224446,3.171465244,4.167584273,3.573264566,4.069662147,4.076114394,4.364390929,3.146350717,7.54760317,7.179477224,6.434425775,6.456713828,3.732332964,4.656313507
7/1/2022,4.0825,2.983415613,4.280940279,2.444676893,3.162616701,4.167597939,3.573020782,4.069662147,4.075917804,4.343438848,3.144999359,7.126310283,7.837634751,6.307310706,6.483655798,3.891906212,4.626838716
8/1/2022,4.0825,2.964729528,4.294209274,2.387899584,3.154056342,4.167608876,3.572821506,4.069662147,4.075721393,4.409198946,3.143787322,4.669718189,6.87341863,6.492621029,6.432492237,3.78554136,4.627105857
