Date,Naive,AR(2),"ARIMAx(0,1,0)","ARNNx(2,4)","ARFIMAx(0,0.49616,4)",ETS,SETAR,TBATS,GARCH,BSTSx,DeepAR,NBEATSx,NHiTSx,DLinearx,NLinearx,TSMixerx,"NARFIMA(1,2,1,T)"
8/1/2023,7.1863,7.192127973,7.019985623,7.235955595,7.153372789,7.229653056,7.108511489,7.167753931,7.171581895,7.159765954,7.236237082,10.74604453,11.39960102,8.72331325,8.173296029,6.844385954,7.258732457
9/1/2023,7.1863,7.193783237,7.020540744,7.296906698,7.05751392,7.264288848,6.95234233,7.152400244,7.171478776,7.171967263,7.240916373,12.33064441,11.25157059,8.682126228,8.206053354,6.839188334,7.289761237
10/1/2023,7.1863,7.194523419,7.016283717,7.38197513,6.971359522,7.291997482,6.874674545,7.155688056,7.171375728,7.182454515,7.241684765,10.01425928,11.06735933,8.69833398,8.222881662,6.837589403,7.294343751
