Date,Naive,AR(2),"ARIMAx(0,1,0)","ARNNx(2,4)","ARFIMAx(0,0.49622,4)",ETS,SETAR,TBATS,GARCH,BSTSx,DeepAR,NBEATSx,NHiTSx,DLinearx,NLinearx,TSMixerx,"NARFIMA(1,1,2,F)"
5/1/2023,6.8876,6.889129701,6.732803441,6.897259937,6.827297837,6.892783018,6.887018698,6.866471146,6.888815373,6.919962598,7.062881594,12.66811636,11.29585967,8.447544409,8.113405238,6.677202272,7.031954391
6/1/2023,6.8876,6.891598265,6.733060414,6.908777385,6.762487869,6.896928214,6.8952997,6.86135612,6.88916729,6.917008576,7.089660194,12.33520578,11.05664217,8.423421254,8.072082626,6.584762353,7.089894982
7/1/2023,6.8876,6.894236733,6.728636492,6.945939594,6.742189523,6.90024924,6.902068464,6.862341761,6.8895167,6.923249206,7.105949844,12.28341719,11.22583102,8.496422168,8.107557244,6.668805774,7.176601927
8/1/2023,6.8876,6.896893225,6.737418973,6.997906508,6.774040244,6.902909963,6.907201464,6.862260199,6.889863649,6.923366883,7.116586839,12.22947539,11.03536314,8.566135615,8.161448873,6.66657996,7.26739269
9/1/2023,6.8876,6.899537831,6.761652143,7.040742686,6.79795981,6.905041667,6.91254246,6.862266948,6.890208181,6.917679287,7.123564416,11.72982885,10.84986135,8.532582502,8.171429645,6.595634631,7.292683049
10/1/2023,6.8876,6.902164753,6.763459749,7.084049088,6.809421361,6.906749535,6.918003069,6.862266389,6.890550339,6.916538634,7.128150667,13.2993282,10.8157355,8.499210575,8.181440523,6.727090872,7.346600847
